transaction_id,sender_name,receiver_name,amount,merchant_category,transaction_type,device_type,location,transaction_hour,previous_fraud_history,customer_age,payment_method,is_fraud
TXN100015,User_1844,Merchant_489,324.66,Travel,Purchase,Mobile - Known,Miami,3,0,18,Credit Card,0
TXN100016,User_2394,Merchant_624,211.36,Travel,Bill Payment,Mobile - Known,Chicago,17,0,36,Wire Transfer,0
TXN100017,User_2256,Merchant_131,145.82,Online Retail,Purchase,Mobile - Known,Unknown/Foreign,4,0,32,Wire Transfer,0
TXN100018,User_1920,Merchant_338,349.24,Travel,Deposit,Desktop - New,Unknown/Foreign,3,0,46,Debit Card,0
TXN100019,User_401,Merchant_640,119.66,Online Retail,Bill Payment,Mobile - Known,New York,13,0,53,ACH,0
TXN100020,User_3349,Merchant_798,151.21,Grocery,Purchase,Mobile - Known,Los Angeles,5,1,55,Credit Card,0
TXN100021,User_2525,Merchant_46,186.47,Gas Station,Deposit,Mobile - Known,Houston,3,0,25,Cryptocurrency,0
TXN100022,User_3395,Merchant_128,443.43,Travel,Purchase,ATM,Chicago,20,0,27,Debit Card,0
TXN100023,User_3465,Merchant_246,83.94,Travel,Deposit,ATM,New York,17,0,57,Wire Transfer,0
TXN100024,User_1167,Merchant_92,80.19,Electronics,Deposit,Desktop - New,Seattle,12,0,33,ACH,0
TXN100025,User_3041,Merchant_264,155.66,Online Retail,Withdrawal,Mobile - Known,New York,21,0,34,Debit Card,0
TXN100026,User_370,Merchant_636,264.54,Electronics,Transfer,Mobile - Known,New York,19,0,30,Debit Card,0
TXN100027,User_1665,Merchant_58,225.69,Grocery,Purchase,Mobile - New,Dallas,4,0,39,Wire Transfer,0
TXN100028,User_3148,Merchant_154,444.17,Online Retail,Purchase,Mobile - Known,Los Angeles,12,0,73,Credit Card,0
TXN100029,User_357,Merchant_23,79.2,Restaurant,Purchase,Mobile - Known,New York,16,0,33,Credit Card,0
TXN100030,User_2840,Merchant_336,8.87,Crypto Exchange,Deposit,Mobile - Known,New York,18,0,48,Debit Card,0
TXN100031,User_1292,Merchant_577,185.11,Grocery,Transfer,ATM,Miami,17,0,45,ACH,0
TXN100032,User_2653,Merchant_602,584.84,Crypto Exchange,Purchase,Mobile - Known,New York,1,0,18,Wire Transfer,1
TXN100033,User_3466,Merchant_457,74.96,Electronics,Transfer,Desktop - Known,Chicago,10,0,54,Debit Card,0
TXN100034,User_2327,Merchant_217,151.3,Online Retail,Withdrawal,Mobile - Known,Los Angeles,23,0,18,Wire Transfer,0
TXN100035,User_851,Merchant_506,48.98,Travel,Transfer,Mobile - New,Chicago,12,0,46,Cryptocurrency,0
TXN100036,User_1210,Merchant_398,179.86,Online Retail,Purchase,Mobile - Known,Dallas,3,1,36,Cryptocurrency,1
TXN100037,User_1198,Merchant_653,143.54,Online Retail,Deposit,Mobile - New,New York,11,0,43,ACH,0
TXN100038,User_511,Merchant_327,45.32,Travel,Deposit,Mobile - Known,Houston,5,1,20,ACH,0
TXN100039,User_173,Merchant_653,768.38,Restaurant,Purchase,Mobile - Known,Seattle,21,0,30,Credit Card,0
TXN100040,User_3441,Merchant_409,93.52,Online Retail,Withdrawal,Desktop - New,Seattle,6,0,49,Credit Card,0
TXN100041,User_1251,Merchant_659,365.31,Electronics,Bill Payment,Mobile - Known,Unknown/Foreign,14,0,45,Debit Card,0
TXN100042,User_1354,Merchant_736,627.04,Online Retail,Transfer,Desktop - Known,Houston,20,0,63,Cryptocurrency,0
TXN100043,User_41,Merchant_740,10.73,Travel,Purchase,Mobile - Known,Los Angeles,3,0,57,Debit Card,0
TXN100044,User_3314,Merchant_251,771.1,Gas Station,Transfer,Mobile - Known,Seattle,15,0,22,Cryptocurrency,0
TXN100045,User_689,Merchant_461,8.33,Grocery,Purchase,Desktop - New,Unknown/Foreign,16,0,32,ACH,0
TXN100046,User_3637,Merchant_677,11.81,Grocery,Purchase,Mobile - Known,New York,16,0,46,Credit Card,0
TXN100047,User_3420,Merchant_95,254.71,Travel,Purchase,Mobile - Known,Los Angeles,12,0,52,Credit Card,0
TXN100048,User_2967,Merchant_207,21.7,Gas Station,Transfer,Desktop - New,Houston,11,0,48,Credit Card,0
TXN100049,User_447,Merchant_308,276.4,Gas Station,Deposit,ATM,Miami,1,0,18,Credit Card,0
TXN100050,User_2594,Merchant_774,142.71,Online Retail,Bill Payment,Mobile - Known,Houston,16,1,18,Credit Card,0
TXN100051,User_3267,Merchant_195,122.13,Travel,Transfer,Mobile - Known,New York,22,0,25,Debit Card,0
TXN100052,User_2594,Merchant_78,130.34,Gambling,Transfer,Mobile - Known,Seattle,17,0,40,Debit Card,0
TXN100053,User_1277,Merchant_692,72.11,Travel,Purchase,Mobile - New,Dallas,23,0,54,Wire Transfer,0
TXN100054,User_2411,Merchant_751,42.28,Travel,Transfer,Desktop - Known,Chicago,23,0,48,ACH,0
TXN100055,User_2193,Merchant_525,5.57,Jewelry,Purchase,Mobile - New,New York,22,0,32,Debit Card,0
TXN100056,User_3626,Merchant_425,162.07,Gas Station,Withdrawal,Mobile - New,New York,14,0,73,Credit Card,0
TXN100057,User_1527,Merchant_624,74.1,Crypto Exchange,Transfer,Mobile - Known,Houston,5,0,36,Debit Card,0
TXN100058,User_118,Merchant_606,31.53,Electronics,Purchase,Mobile - Known,Unknown/Foreign,22,0,53,Debit Card,0
TXN100059,User_2188,Merchant_559,33.73,Gas Station,Bill Payment,Desktop - Known,Miami,18,0,28,Wire Transfer,0
TXN100060,User_1943,Merchant_650,221.11,Restaurant,Purchase,Desktop - Known,Unknown/Foreign,12,0,39,Debit Card,0
TXN100061,User_1119,Merchant_581,828.22,Travel,Deposit,Mobile - Known,Dallas,16,0,77,ACH,0
TXN100062,User_1373,Merchant_779,319.61,Gambling,Purchase,Desktop - Known,Unknown/Foreign,11,0,44,Debit Card,0
TXN100063,User_2344,Merchant_295,285.49,Electronics,Purchase,Mobile - Known,Seattle,13,0,55,Credit Card,0
TXN100064,User_3688,Merchant_104,225.18,Crypto Exchange,Transfer,Desktop - Known,Houston,0,0,38,Credit Card,0
TXN100065,User_420,Merchant_157,176.18,Grocery,Bill Payment,Desktop - Known,Chicago,19,0,51,ACH,0
TXN100066,User_1933,Merchant_159,29.61,Electronics,Purchase,Desktop - Known,New York,21,0,66,Debit Card,0
TXN100067,User_3355,Merchant_69,85.7,Online Retail,Transfer,Desktop - Known,Houston,14,0,61,Wire Transfer,0
TXN100068,User_2731,Merchant_460,315.59,Gambling,Purchase,Mobile - Known,Chicago,13,0,37,Wire Transfer,0
TXN100069,User_3368,Merchant_297,19.41,Crypto Exchange,Withdrawal,Mobile - Known,Miami,16,0,21,Wire Transfer,0
TXN100070,User_1935,Merchant_661,467.62,Online Retail,Purchase,ATM,Seattle,21,0,23,Debit Card,0
TXN100071,User_3282,Merchant_475,85.84,Restaurant,Purchase,Desktop - New,Miami,2,0,54,Debit Card,0
TXN100072,User_2714,Merchant_156,240.75,Online Retail,Purchase,Mobile - New,New York,23,0,57,Debit Card,0
TXN100073,User_3213,Merchant_215,43.04,Online Retail,Bill Payment,Mobile - New,Miami,21,0,42,Credit Card,0
TXN100074,User_2162,Merchant_222,100.17,Restaurant,Purchase,Mobile - New,Miami,15,0,62,Credit Card,0
TXN100075,User_3548,Merchant_178,147.63,Grocery,Purchase,Desktop - New,Unknown/Foreign,9,0,25,Debit Card,0
TXN100076,User_3055,Merchant_264,363.12,Travel,Transfer,Mobile - Known,Los Angeles,7,0,34,Wire Transfer,0
TXN100077,User_2002,Merchant_7,18.85,Electronics,Withdrawal,Desktop - New,Seattle,3,1,37,Debit Card,1
TXN100078,User_1410,Merchant_707,180.55,Restaurant,Deposit,Mobile - Known,Seattle,17,0,34,Debit Card,0
TXN100079,User_2107,Merchant_727,160.62,Electronics,Transfer,Mobile - New,Miami,1,0,36,Credit Card,0
TXN100080,User_2714,Merchant_442,289.57,Online Retail,Purchase,Mobile - Known,Houston,12,0,51,Credit Card,0
TXN100081,User_1402,Merchant_588,415.5,Gas Station,Withdrawal,Desktop - New,Houston,9,0,48,Wire Transfer,0
TXN100082,User_3473,Merchant_476,41.62,Grocery,Purchase,ATM,Seattle,7,0,40,Credit Card,0
TXN100083,User_3584,Merchant_676,265.26,Online Retail,Purchase,ATM,Los Angeles,20,0,32,Debit Card,0
TXN100084,User_3539,Merchant_739,228.52,Electronics,Transfer,Mobile - New,Miami,21,0,18,Credit Card,0
TXN100085,User_939,Merchant_616,331.59,Jewelry,Bill Payment,Mobile - Known,Miami,1,0,44,Credit Card,0
TXN100086,User_3005,Merchant_17,102.71,Electronics,Deposit,Desktop - New,Dallas,5,0,31,Cryptocurrency,0
TXN100087,User_1224,Merchant_537,540.09,Online Retail,Purchase,Desktop - Known,Seattle,7,0,54,Credit Card,0
TXN100088,User_3591,Merchant_137,420.62,Gas Station,Withdrawal,Mobile - Known,Miami,9,0,18,Debit Card,0
TXN100089,User_1183,Merchant_152,38.51,Grocery,Transfer,Desktop - New,Dallas,19,0,56,Debit Card,0
TXN100090,User_3030,Merchant_397,47.05,Grocery,Purchase,Desktop - Known,Chicago,22,0,62,Credit Card,0
TXN100091,User_814,Merchant_29,176.98,Jewelry,Transfer,Mobile - Known,New York,9,1,51,Debit Card,0
TXN100092,User_2625,Merchant_689,262.35,Travel,Transfer,Desktop - Known,Seattle,14,0,38,Credit Card,0
TXN100093,User_3416,Merchant_140,21.07,Travel,Purchase,Mobile - Known,Los Angeles,15,0,41,Credit Card,0
TXN100094,User_3933,Merchant_575,563.95,Restaurant,Purchase,Desktop - Known,Unknown/Foreign,13,0,40,Credit Card,0
TXN100095,User_3119,Merchant_727,47.18,Restaurant,Purchase,Mobile - Known,Chicago,8,0,32,Debit Card,0
TXN100096,User_3161,Merchant_329,387.42,Crypto Exchange,Bill Payment,Mobile - Known,Chicago,17,0,75,Wire Transfer,0
TXN100097,User_3298,Merchant_124,405.55,Jewelry,Transfer,Mobile - New,Los Angeles,8,0,49,Wire Transfer,0
TXN100098,User_2746,Merchant_323,83.94,Electronics,Withdrawal,Mobile - New,New York,15,0,18,Credit Card,0
TXN100099,User_2829,Merchant_363,76.94,Gas Station,Transfer,Mobile - Known,Seattle,18,0,32,Debit Card,0
TXN100100,User_3742,Merchant_551,49.09,Crypto Exchange,Purchase,Desktop - Known,Los Angeles,4,0,39,Debit Card,0
TXN100101,User_700,Merchant_448,31.55,Restaurant,Deposit,Desktop - Known,New York,12,0,42,Debit Card,0
TXN100102,User_1220,Merchant_484,139.77,Restaurant,Purchase,Desktop - New,Houston,1,0,51,Debit Card,0
TXN100103,User_2508,Merchant_7,12.64,Electronics,Withdrawal,Mobile - Known,Miami,0,0,72,Credit Card,0
TXN100104,User_887,Merchant_797,12.22,Restaurant,Purchase,Desktop - New,Los Angeles,22,0,20,Debit Card,0
TXN100105,User_869,Merchant_84,212.96,Electronics,Purchase,Desktop - Known,Miami,2,1,38,Cryptocurrency,1
TXN100106,User_1810,Merchant_271,91.23,Electronics,Bill Payment,Mobile - New,Unknown/Foreign,14,0,47,Wire Transfer,0
TXN100107,User_960,Merchant_693,114.8,Online Retail,Purchase,Mobile - Known,New York,7,0,48,Credit Card,0
TXN100108,User_1017,Merchant_726,437.14,Gambling,Purchase,Mobile - New,New York,6,0,31,Debit Card,0
TXN100109,User_166,Merchant_544,157.0,Electronics,Withdrawal,Mobile - Known,Houston,7,0,27,Cryptocurrency,0
TXN100110,User_3732,Merchant_673,192.6,Restaurant,Bill Payment,ATM,Dallas,18,0,41,Credit Card,0
TXN100111,User_3238,Merchant_90,147.63,Grocery,Purchase,Desktop - Known,New York,12,0,34,Debit Card,0
TXN100112,User_2271,Merchant_416,210.5,Restaurant,Purchase,Mobile - Known,New York,10,0,45,Credit Card,0
TXN100113,User_515,Merchant_127,63.9,Crypto Exchange,Bill Payment,Desktop - Known,Seattle,14,0,61,Credit Card,0
TXN100114,User_685,Merchant_733,134.53,Restaurant,Purchase,Mobile - Known,Los Angeles,12,0,18,Credit Card,0
TXN100115,User_755,Merchant_35,280.66,Gas Station,Transfer,Desktop - Known,Dallas,21,0,34,Debit Card,0
TXN100116,User_1388,Merchant_382,44.85,Travel,Purchase,Desktop - New,Los Angeles,20,0,34,Debit Card,0
TXN100117,User_295,Merchant_755,790.93,Grocery,Deposit,Desktop - Known,Houston,20,0,64,ACH,0
TXN100118,User_3370,Merchant_526,161.52,Crypto Exchange,Purchase,Desktop - Known,Miami,14,0,34,Credit Card,0
TXN100119,User_3217,Merchant_28,639.75,Electronics,Deposit,Mobile - New,Los Angeles,14,0,69,Debit Card,0
TXN100120,User_2640,Merchant_605,53.75,Gas Station,Purchase,Desktop - New,New York,12,0,48,Credit Card,0
TXN100121,User_2735,Merchant_204,73.98,Restaurant,Transfer,Mobile - Known,Miami,0,0,22,Credit Card,0
TXN100122,User_3073,Merchant_119,115.86,Jewelry,Deposit,Desktop - Known,Seattle,11,0,37,Debit Card,0
TXN100123,User_2543,Merchant_427,45.81,Electronics,Purchase,Mobile - Known,Miami,11,0,55,Credit Card,0
TXN100124,User_1015,Merchant_776,120.8,Gas Station,Purchase,Mobile - Known,Chicago,15,1,31,Debit Card,0
TXN100125,User_3720,Merchant_303,30.56,Electronics,Bill Payment,Mobile - Known,Miami,22,1,41,Credit Card,0
TXN100126,User_3292,Merchant_704,152.17,Grocery,Bill Payment,Desktop - Known,Dallas,18,1,49,Credit Card,0
TXN100127,User_1668,Merchant_614,8.89,Gambling,Transfer,Desktop - New,Seattle,12,0,46,ACH,0
TXN100128,User_3148,Merchant_711,103.78,Crypto Exchange,Deposit,Mobile - Known,Seattle,0,0,39,Debit Card,0
TXN100129,User_2890,Merchant_777,149.19,Travel,Transfer,Desktop - Known,Houston,2,0,44,Wire Transfer,0
TXN100130,User_43,Merchant_343,85.98,Jewelry,Transfer,Mobile - New,New York,11,0,18,Credit Card,0
TXN100131,User_141,Merchant_470,301.78,Gas Station,Bill Payment,Mobile - Known,Los Angeles,22,0,24,Debit Card,0
TXN100132,User_2,Merchant_589,38.95,Grocery,Transfer,Desktop - Known,Dallas,14,0,29,Wire Transfer,0
TXN100133,User_952,Merchant_36,96.06,Grocery,Purchase,Desktop - Known,Los Angeles,12,0,56,Debit Card,0
TXN100134,User_3977,Merchant_26,99.46,Grocery,Deposit,Mobile - New,Houston,14,1,60,ACH,0
TXN100135,User_3684,Merchant_60,42.9,Gas Station,Transfer,Desktop - New,Unknown/Foreign,15,0,29,Wire Transfer,0
TXN100136,User_662,Merchant_432,200.34,Restaurant,Withdrawal,Mobile - Known,Chicago,4,0,51,Debit Card,0
TXN100137,User_3669,Merchant_658,67.39,Electronics,Purchase,Desktop - Known,Los Angeles,12,0,46,Debit Card,0
TXN100138,User_1006,Merchant_36,93.25,Online Retail,Withdrawal,Desktop - Known,Unknown/Foreign,13,0,50,Debit Card,0
TXN100139,User_2476,Merchant_539,16.12,Crypto Exchange,Purchase,Mobile - Known,Los Angeles,8,0,60,Wire Transfer,0
TXN100140,User_3875,Merchant_354,183.98,Electronics,Transfer,Desktop - Known,Los Angeles,2,0,39,Credit Card,0
TXN100141,User_2960,Merchant_12,106.42,Travel,Transfer,Mobile - Known,Unknown/Foreign,14,0,28,Credit Card,0
TXN100142,User_2454,Merchant_456,76.87,Gas Station,Withdrawal,ATM,Los Angeles,18,0,60,Credit Card,0
TXN100143,User_2818,Merchant_761,253.37,Grocery,Deposit,Desktop - New,Dallas,13,0,31,Credit Card,0
TXN100144,User_244,Merchant_490,145.26,Electronics,Purchase,Mobile - New,Miami,22,0,47,Credit Card,0
TXN100145,User_73,Merchant_399,125.18,Travel,Transfer,Desktop - Known,Dallas,9,0,50,Debit Card,0
TXN100146,User_822,Merchant_238,92.84,Grocery,Withdrawal,Mobile - Known,Unknown/Foreign,9,0,41,Credit Card,0
TXN100147,User_3084,Merchant_128,34.59,Online Retail,Purchase,Mobile - Known,Chicago,7,0,18,Debit Card,0
TXN100148,User_2335,Merchant_517,101.97,Electronics,Transfer,Mobile - New,New York,5,0,42,Credit Card,0
TXN100149,User_1180,Merchant_190,273.17,Online Retail,Purchase,ATM,New York,23,0,23,Debit Card,0
TXN100150,User_124,Merchant_422,55.51,Grocery,Withdrawal,Desktop - Known,Miami,7,0,18,Credit Card,0
TXN100151,User_3717,Merchant_510,99.95,Grocery,Deposit,Mobile - New,Los Angeles,6,0,22,Credit Card,0
TXN100152,User_242,Merchant_493,51.44,Grocery,Transfer,Desktop - New,Miami,22,0,19,Debit Card,0
TXN100153,User_3836,Merchant_594,670.4,Restaurant,Bill Payment,Mobile - New,New York,10,0,24,Debit Card,0
TXN100154,User_3202,Merchant_572,116.33,Travel,Purchase,Mobile - New,Seattle,12,0,46,Cryptocurrency,0
TXN100155,User_3985,Merchant_173,14.31,Electronics,Bill Payment,Mobile - Known,Seattle,10,0,27,Debit Card,0
TXN100156,User_1675,Merchant_436,29.29,Restaurant,Transfer,Desktop - Known,New York,22,0,29,Debit Card,0
TXN100157,User_3010,Merchant_463,268.22,Gas Station,Purchase,Mobile - Known,New York,21,0,56,Credit Card,0
TXN100158,User_1312,Merchant_288,41.45,Grocery,Transfer,Desktop - New,Miami,22,0,63,Wire Transfer,0
TXN100159,User_2462,Merchant_725,192.33,Grocery,Purchase,ATM,Los Angeles,7,0,72,Cryptocurrency,0
TXN100160,User_3070,Merchant_661,202.85,Online Retail,Purchase,ATM,Dallas,22,0,46,Credit Card,0
TXN100161,User_770,Merchant_541,690.29,Restaurant,Transfer,Mobile - Known,New York,21,0,46,Wire Transfer,0
TXN100162,User_703,Merchant_630,208.1,Grocery,Bill Payment,Mobile - New,New York,11,0,76,Credit Card,0
TXN100163,User_515,Merchant_449,149.84,Gas Station,Deposit,Desktop - Known,Dallas,14,0,61,Wire Transfer,0
TXN100164,User_1037,Merchant_393,58.61,Electronics,Deposit,Desktop - Known,Chicago,20,0,24,Credit Card,0
TXN100165,User_3807,Merchant_70,145.43,Grocery,Withdrawal,Mobile - Known,Dallas,13,0,53,ACH,0
TXN100166,User_871,Merchant_405,376.69,Gambling,Purchase,Mobile - New,Dallas,23,0,47,Debit Card,0
TXN100167,User_1079,Merchant_500,5.31,Grocery,Purchase,Mobile - New,Chicago,6,0,33,Credit Card,0
TXN100168,User_2975,Merchant_704,148.05,Gas Station,Withdrawal,Desktop - New,Los Angeles,18,0,58,Wire Transfer,0
TXN100169,User_1142,Merchant_161,132.23,Travel,Purchase,Desktop - Known,Los Angeles,19,0,51,Wire Transfer,0
TXN100170,User_1795,Merchant_619,98.44,Gas Station,Withdrawal,Mobile - Known,Chicago,13,0,46,Cryptocurrency,0
TXN100171,User_3904,Merchant_49,4.41,Restaurant,Purchase,Desktop - Known,Los Angeles,20,0,35,Credit Card,0
TXN100172,User_1206,Merchant_686,102.82,Crypto Exchange,Withdrawal,Desktop - Known,New York,6,0,66,ACH,0
TXN100173,User_3292,Merchant_270,169.59,Grocery,Withdrawal,Desktop - Known,Unknown/Foreign,23,0,27,Debit Card,0
TXN100174,User_690,Merchant_519,51.67,Electronics,Withdrawal,Mobile - New,Seattle,11,0,57,Debit Card,0
TXN100175,User_1337,Merchant_165,16.27,Electronics,Withdrawal,Desktop - Known,New York,15,1,40,Debit Card,0
TXN100176,User_598,Merchant_289,716.23,Electronics,Withdrawal,Mobile - Known,Miami,18,0,32,Debit Card,0
TXN100177,User_2890,Merchant_517,133.39,Grocery,Deposit,Desktop - Known,New York,21,0,21,ACH,0
TXN100178,User_3722,Merchant_611,524.38,Jewelry,Withdrawal,Mobile - New,Chicago,6,0,42,ACH,0
TXN100179,User_1750,Merchant_628,9.6,Restaurant,Purchase,Mobile - Known,Los Angeles,3,0,20,ACH,0
TXN100180,User_1012,Merchant_227,368.04,Electronics,Transfer,ATM,Seattle,1,0,55,Credit Card,0
TXN100181,User_3144,Merchant_567,20.06,Gas Station,Deposit,Mobile - New,Seattle,18,0,61,Debit Card,0
TXN100182,User_1650,Merchant_40,185.24,Electronics,Deposit,Desktop - Known,Houston,5,0,54,Cryptocurrency,0
TXN100183,User_2592,Merchant_649,127.32,Online Retail,Purchase,Mobile - New,Dallas,15,0,72,Debit Card,0
TXN100184,User_2244,Merchant_793,292.97,Online Retail,Bill Payment,Mobile - New,Unknown/Foreign,20,0,47,Debit Card,0
TXN100185,User_1419,Merchant_450,311.65,Electronics,Purchase,ATM,Chicago,8,0,69,Debit Card,0
TXN100186,User_943,Merchant_338,310.31,Online Retail,Purchase,Mobile - New,Seattle,15,0,33,Debit Card,0
TXN100187,User_2296,Merchant_156,248.69,Gas Station,Transfer,Mobile - New,Seattle,10,0,34,Debit Card,0
TXN100188,User_2275,Merchant_313,206.04,Grocery,Withdrawal,ATM,New York,2,0,18,Debit Card,0
TXN100189,User_2267,Merchant_407,65.22,Gas Station,Bill Payment,Desktop - New,Dallas,2,0,46,ACH,0
TXN100190,User_424,Merchant_270,33.34,Travel,Purchase,Mobile - Known,Chicago,2,0,40,Debit Card,0
TXN100191,User_633,Merchant_508,450.35,Electronics,Deposit,Mobile - Known,Unknown/Foreign,9,0,57,Credit Card,0
TXN100192,User_1227,Merchant_739,181.46,Online Retail,Purchase,Mobile - Known,New York,16,0,41,Debit Card,0
TXN100193,User_695,Merchant_16,46.19,Restaurant,Transfer,Mobile - Known,Seattle,1,0,55,Debit Card,0
TXN100194,User_3756,Merchant_201,49.28,Restaurant,Purchase,Desktop - Known,Unknown/Foreign,17,0,23,Debit Card,0
TXN100195,User_820,Merchant_605,432.69,Gas Station,Deposit,Desktop - New,Miami,12,0,25,Debit Card,0
TXN100196,User_2902,Merchant_492,33.67,Crypto Exchange,Transfer,Desktop - New,Miami,22,0,38,Credit Card,0
TXN100197,User_362,Merchant_449,541.15,Gas Station,Withdrawal,Desktop - Known,Miami,5,0,54,Debit Card,0
TXN100198,User_1214,Merchant_136,107.76,Online Retail,Transfer,Mobile - New,Houston,19,0,38,Debit Card,0
TXN100199,User_553,Merchant_529,6.73,Grocery,Purchase,Desktop - New,Miami,9,0,39,Debit Card,0
TXN100200,User_3240,Merchant_620,21.75,Travel,Transfer,Desktop - New,Houston,10,0,53,Debit Card,0
TXN100201,User_1348,Merchant_673,235.59,Jewelry,Withdrawal,Mobile - Known,Dallas,0,0,44,Wire Transfer,0
TXN100202,User_3869,Merchant_105,109.66,Travel,Purchase,Mobile - New,Dallas,0,0,59,Credit Card,0
TXN100203,User_3586,Merchant_605,187.15,Jewelry,Transfer,Desktop - Known,New York,8,0,47,Debit Card,0
TXN100204,User_574,Merchant_49,12.38,Online Retail,Purchase,Mobile - Known,Chicago,2,0,39,Cryptocurrency,0
TXN100205,User_3706,Merchant_30,43.81,Online Retail,Deposit,Mobile - Known,Chicago,10,0,24,Debit Card,0
TXN100206,User_1636,Merchant_380,106.44,Restaurant,Deposit,Desktop - New,Unknown/Foreign,22,0,18,Credit Card,0
TXN100207,User_914,Merchant_419,209.89,Travel,Purchase,Mobile - New,New York,23,0,39,Credit Card,0
TXN100208,User_1055,Merchant_388,74.96,Grocery,Transfer,Mobile - Known,Dallas,4,0,46,Credit Card,0
TXN100209,User_1851,Merchant_125,32.97,Gambling,Purchase,ATM,Houston,12,0,25,Debit Card,0
TXN100210,User_797,Merchant_77,110.42,Electronics,Bill Payment,Mobile - Known,Unknown/Foreign,4,0,43,Credit Card,0
TXN100211,User_1403,Merchant_343,168.05,Grocery,Purchase,ATM,Seattle,4,0,67,ACH,0
TXN100212,User_3457,Merchant_604,104.51,Electronics,Purchase,Mobile - Known,New York,13,0,51,Credit Card,0
TXN100213,User_2835,Merchant_165,157.43,Gambling,Purchase,Desktop - New,Los Angeles,16,0,26,ACH,0
TXN100214,User_3830,Merchant_395,236.23,Grocery,Deposit,Desktop - Known,Unknown/Foreign,20,0,33,Debit Card,0
TXN100215,User_864,Merchant_582,143.46,Grocery,Withdrawal,Mobile - New,New York,5,0,47,Credit Card,0
TXN100216,User_1973,Merchant_731,159.93,Travel,Purchase,Mobile - Known,Dallas,14,0,38,Wire Transfer,0
TXN100217,User_3647,Merchant_323,94.24,Restaurant,Withdrawal,Desktop - Known,Unknown/Foreign,15,1,21,Debit Card,1
TXN100218,User_126,Merchant_277,107.06,Online Retail,Transfer,ATM,New York,21,0,56,Debit Card,0
TXN100219,User_2959,Merchant_549,79.97,Restaurant,Purchase,Mobile - Known,Unknown/Foreign,14,1,40,Credit Card,0
TXN100220,User_3456,Merchant_260,1.02,Crypto Exchange,Deposit,Desktop - New,Unknown/Foreign,2,0,41,Debit Card,1
TXN100221,User_162,Merchant_746,94.09,Grocery,Purchase,Mobile - Known,Seattle,12,0,47,Debit Card,0
TXN100222,User_1589,Merchant_321,49.93,Online Retail,Purchase,Desktop - Known,Miami,1,0,54,Debit Card,0
TXN100223,User_3556,Merchant_456,143.32,Electronics,Purchase,Mobile - Known,Chicago,21,0,52,Credit Card,0
TXN100224,User_1495,Merchant_776,145.6,Gas Station,Transfer,Mobile - New,Los Angeles,20,0,57,Debit Card,0
TXN100225,User_1885,Merchant_154,57.0,Online Retail,Purchase,Mobile - Known,Miami,10,0,28,Debit Card,0
TXN100226,User_2625,Merchant_619,225.97,Online Retail,Deposit,Desktop - Known,Houston,5,0,29,Debit Card,0
TXN100227,User_2449,Merchant_698,56.74,Jewelry,Purchase,Desktop - New,Unknown/Foreign,12,0,51,Wire Transfer,1
TXN100228,User_3948,Merchant_523,7.78,Online Retail,Bill Payment,Desktop - New,Dallas,14,0,56,Cryptocurrency,0
TXN100229,User_1024,Merchant_553,542.04,Gas Station,Purchase,Mobile - Known,Seattle,11,1,41,Credit Card,0
TXN100230,User_3600,Merchant_649,116.32,Grocery,Transfer,Desktop - New,New York,6,0,60,ACH,0
TXN100231,User_3075,Merchant_28,192.79,Online Retail,Deposit,Mobile - Known,Dallas,12,0,52,Debit Card,0
